FeatureCode,DateCode,Measurement,Units,Value,Indices of Deprivation
E06000051,2019,Rank of average score,,208,i. Income Deprivation Affecting Children Index (IDACI)
E06000051,2019,Proportion of Lower-layer Super Output Areas (LSOAs) in most deprived 10% nationally,,0.0000,e. Health Deprivation and Disability Domain
E06000051,2019,Rank of average score,,191,e. Health Deprivation and Disability Domain
E06000051,2019,Rank of average rank,,157,j. Income Deprivation Affecting Older People Index (IDAOPI)
E06000051,2019,Average Rank,,14862.2,a. Index of Multiple Deprivation (IMD)
E06000051,2019,Rank of proportion of LSOAs in most deprived 10% nationally,,173,e. Health Deprivation and Disability Domain
E06000052,2019,Rank of proportion of LSOAs in most deprived 10% nationally,,132,b. Income Deprivation Domain
E06000051,2019,Rank of average score,,193,b. Income Deprivation Domain
E06000052,2019,Rank of average rank,,74,c. Employment Deprivation Domain
E06000051,2019,Rank of average rank,,246,f. Crime Domain
E06000051,2019,Rank of proportion of LSOAs in most deprived 10% nationally,,183,b. Income Deprivation Domain
E06000051,2019,Average Rank,,13890.23,i. Income Deprivation Affecting Children Index (IDACI)
E06000051,2019,Rank of local concentration,,202,a. Index of Multiple Deprivation (IMD)
E06000051,2019,Proportion of Lower-layer Super Output Areas (LSOAs) in most deprived 10% nationally,,0.0052,j. Income Deprivation Affecting Older People Index (IDAOPI)
E06000051,2019,Rank of proportion of LSOAs in most deprived 10% nationally,,186,i. Income Deprivation Affecting Children Index (IDACI)
E06000051,2019,Rank of scale,,81,b. Income Deprivation Domain
E06000051,2019,Rank of average score,,247,f. Crime Domain
E06000051,2019,Rank of average rank,,202,i. Income Deprivation Affecting Children Index (IDACI)
E06000051,2019,Rank of average score,,173,j. Income Deprivation Affecting Older People Index (IDAOPI)
E06000051,2019,Average Rank,,11956.84,e. Health Deprivation and Disability Domain
E06000051,2019,Rank of scale,,78,c. Employment Deprivation Domain
E06000051,2019,Average Score,,0.113,j. Income Deprivation Affecting Older People Index (IDAOPI)
E06000052,2019,Average Score,,19.031,"d. Education, Skills and Training Domain"
E06000052,2019,Average Rank,,24818.85,h. Living Environment Deprivation Domain
E06000052,2019,Rank of average rank,,122,e. Health Deprivation and Disability Domain
E06000052,2019,Rank of proportion of LSOAs in most deprived 10% nationally,,70,g. Barriers to Housing and Services Domain
E06000052,2019,Average Rank,,18359.27,i. Income Deprivation Affecting Children Index (IDACI)
E06000052,2019,Rank of proportion of LSOAs in most deprived 10% nationally,,150,i. Income Deprivation Affecting Children Index (IDACI)
E06000052,2019,Average Score,,0.054,e. Health Deprivation and Disability Domain
E06000052,2019,Rank of average rank,,145,"d. Education, Skills and Training Domain"
E06000052,2019,Proportion of Lower-layer Super Output Areas (LSOAs) in most deprived 10% nationally,,0.0521,a. Index of Multiple Deprivation (IMD)
E06000052,2019,Rank of average score,,90,c. Employment Deprivation Domain
E06000052,2019,Average Score,,39.931,h. Living Environment Deprivation Domain
E06000052,2019,Average Score,,0.164,i. Income Deprivation Affecting Children Index (IDACI)
E06000052,2019,Proportion of Lower-layer Super Output Areas (LSOAs) in most deprived 10% nationally,,0.0153,j. Income Deprivation Affecting Older People Index (IDAOPI)
E06000052,2019,Proportion of Lower-layer Super Output Areas (LSOAs) in most deprived 10% nationally,,0.046,i. Income Deprivation Affecting Children Index (IDACI)
E06000052,2019,Proportion of Lower-layer Super Output Areas (LSOAs) in most deprived 10% nationally,,0.1534,g. Barriers to Housing and Services Domain
E06000052,2019,Rank of average rank,,270,f. Crime Domain
E06000052,2019,Rank of proportion of LSOAs in most deprived 10% nationally,,160,j. Income Deprivation Affecting Older People Index (IDAOPI)
E06000052,2019,Average Score,,0.13,b. Income Deprivation Domain
E06000052,2019,Average Rank,,19392.6,c. Employment Deprivation Domain
E06000052,2019,Average Score,,-0.713,f. Crime Domain
E06000052,2019,Rank of average rank,,107,i. Income Deprivation Affecting Children Index (IDACI)
E06000052,2019,Rank of scale,,8,b. Income Deprivation Domain
E07000218,2019,Rank of proportion of LSOAs in most deprived 10% nationally,,114,h. Living Environment Deprivation Domain
E07000218,2019,Average Rank,,14619.88,c. Employment Deprivation Domain
E07000218,2019,Proportion of Lower-layer Super Output Areas (LSOAs) in most deprived 10% nationally,,0.0000,j. Income Deprivation Affecting Older People Index (IDAOPI)
E07000218,2019,Proportion of Lower-layer Super Output Areas (LSOAs) in most deprived 10% nationally,,0.0263,c. Employment Deprivation Domain
E07000218,2019,Rank of proportion of LSOAs in most deprived 10% nationally,,151,c. Employment Deprivation Domain
E07000218,2019,Average Rank,,18195.43,h. Living Environment Deprivation Domain
E07000218,2019,Rank of proportion of LSOAs in most deprived 10% nationally,,166,f. Crime Domain
E07000218,2019,Rank of average score,,177,c. Employment Deprivation Domain
E07000218,2019,Scale,,6059,b. Income Deprivation Domain
E07000218,2019,Rank of average rank,,178,b. Income Deprivation Domain
E07000218,2019,Average Rank,,14883.33,i. Income Deprivation Affecting Children Index (IDACI)
E07000218,2019,Rank of proportion of LSOAs in most deprived 10% nationally,,176,i. Income Deprivation Affecting Children Index (IDACI)
E07000218,2019,Rank of average score,,154,e. Health Deprivation and Disability Domain
E07000218,2019,Extent,,0.0565,a. Index of Multiple Deprivation (IMD)
E07000218,2019,Average Rank,,14249.87,b. Income Deprivation Domain
E07000218,2019,Average Score,,0.129,i. Income Deprivation Affecting Children Index (IDACI)
E07000218,2019,Proportion of Lower-layer Super Output Areas (LSOAs) in most deprived 10% nationally,,0.0263,f. Crime Domain
E07000218,2019,Average Rank,,15841.97,g. Barriers to Housing and Services Domain
E07000218,2019,Average Rank,,15018.85,e. Health Deprivation and Disability Domain
E07000218,2019,Average Score,,-0.067,f. Crime Domain
E07000218,2019,Average Score,,0.097,b. Income Deprivation Domain
E07000218,2019,Rank of average rank,,145,f. Crime Domain
E07000218,2019,Rank of average score,,171,j. Income Deprivation Affecting Older People Index (IDAOPI)
E07000219,2019,Proportion of Lower-layer Super Output Areas (LSOAs) in most deprived 10% nationally,,0.037,e. Health Deprivation and Disability Domain
E07000219,2019,Rank of proportion of LSOAs in most deprived 10% nationally,,96,c. Employment Deprivation Domain
E07000219,2019,Average Rank,,20106.53,f. Crime Domain
E07000219,2019,Proportion of Lower-layer Super Output Areas (LSOAs) in most deprived 10% nationally,,0.0494,b. Income Deprivation Domain
E07000219,2019,Average Score,,0.141,j. Income Deprivation Affecting Older People Index (IDAOPI)
E07000219,2019,Proportion of Lower-layer Super Output Areas (LSOAs) in most deprived 10% nationally,,0.0123,h. Living Environment Deprivation Domain
E07000219,2019,Proportion of Lower-layer Super Output Areas (LSOAs) in most deprived 10% nationally,,0.0123,g. Barriers to Housing and Services Domain
E07000219,2019,Average Rank,,12997.73,g. Barriers to Housing and Services Domain
E07000219,2019,Average Score,,18.541,h. Living Environment Deprivation Domain
E07000219,2019,Rank of average score,,87,e. Health Deprivation and Disability Domain
E07000219,2019,Rank of proportion of LSOAs in most deprived 10% nationally,,130,b. Income Deprivation Domain
E07000218,2019,Rank of extent,,189,a. Index of Multiple Deprivation (IMD)
E07000218,2019,Average Rank,,19970.73,"d. Education, Skills and Training Domain"
E07000218,2019,Scale,,2833.5,c. Employment Deprivation Domain
E07000218,2019,Average Score,,0.08,c. Employment Deprivation Domain
E07000218,2019,Proportion of Lower-layer Super Output Areas (LSOAs) in most deprived 10% nationally,,0.0789,h. Living Environment Deprivation Domain
E07000218,2019,Rank of average rank,,172,g. Barriers to Housing and Services Domain
E07000218,2019,Rank of proportion of LSOAs in most deprived 10% nationally,,152,a. Index of Multiple Deprivation (IMD)
E07000218,2019,Average Rank,,15374.89,a. Index of Multiple Deprivation (IMD)
E07000218,2019,Rank of local concentration,,182,a. Index of Multiple Deprivation (IMD)
E07000218,2019,Rank of average rank,,151,j. Income Deprivation Affecting Older People Index (IDAOPI)
E07000218,2019,Proportion of Lower-layer Super Output Areas (LSOAs) in most deprived 10% nationally,,0.1053,g. Barriers to Housing and Services Domain
E07000218,2019,Rank of average score,,97,"d. Education, Skills and Training Domain"
E07000218,2019,Rank of proportion of LSOAs in most deprived 10% nationally,,181,j. Income Deprivation Affecting Older People Index (IDAOPI)
E07000218,2019, Local concentration,,26906.47,a. Index of Multiple Deprivation (IMD)
E07000218,2019,Proportion of Lower-layer Super Output Areas (LSOAs) in most deprived 10% nationally,,0.0263,i. Income Deprivation Affecting Children Index (IDACI)
E07000218,2019,Rank of average rank,,171,c. Employment Deprivation Domain
E07000218,2019,Rank of average rank,,155,a. Index of Multiple Deprivation (IMD)
E07000218,2019,Rank of average rank,,176,i. Income Deprivation Affecting Children Index (IDACI)
E07000218,2019,Rank of average score,,190,b. Income Deprivation Domain
E07000218,2019,Proportion of Lower-layer Super Output Areas (LSOAs) in most deprived 10% nationally,,0.0789,"d. Education, Skills and Training Domain"
E07000218,2019,Average Rank,,15408.39,f. Crime Domain
E07000218,2019,Rank of proportion of LSOAs in most deprived 10% nationally,,128,"d. Education, Skills and Training Domain"
E07000217,2019,Rank of average rank,,242,h. Living Environment Deprivation Domain
E07000217,2019,Rank of average score,,273,b. Income Deprivation Domain
E07000217,2019,Rank of average score,,245,h. Living Environment Deprivation Domain
E07000217,2019,Rank of average score,,116,g. Barriers to Housing and Services Domain
E07000217,2019,Average Rank,,8594.72,a. Index of Multiple Deprivation (IMD)
E07000217,2019, Local concentration,,22207.96,a. Index of Multiple Deprivation (IMD)
E07000217,2019,Rank of local concentration,,261,a. Index of Multiple Deprivation (IMD)
E07000217,2019,Rank of average rank,,277,b. Income Deprivation Domain
E07000218,2019,Average Score,,21.346,g. Barriers to Housing and Services Domain
E07000217,2019,Rank of average rank,,283,a. Index of Multiple Deprivation (IMD)
E07000217,2019,Rank of average rank,,277,c. Employment Deprivation Domain
E07000218,2019,Rank of scale,,286,c. Employment Deprivation Domain
E07000218,2019,Rank of average rank,,78,"d. Education, Skills and Training Domain"
E07000218,2019,Proportion of Lower-layer Super Output Areas (LSOAs) in most deprived 10% nationally,,0.0263,a. Index of Multiple Deprivation (IMD)
E07000218,2019,Proportion of Lower-layer Super Output Areas (LSOAs) in most deprived 10% nationally,,0.0000,e. Health Deprivation and Disability Domain
E07000218,2019,Proportion of Lower-layer Super Output Areas (LSOAs) in most deprived 10% nationally,,0.0263,b. Income Deprivation Domain
E07000218,2019,Rank of average score,,167,a. Index of Multiple Deprivation (IMD)
E07000218,2019,Average Score,,22.43,h. Living Environment Deprivation Domain
E07000218,2019,Average Score,,0.113,j. Income Deprivation Affecting Older People Index (IDAOPI)
E07000218,2019,Average Score,,25.791,"d. Education, Skills and Training Domain"
E07000218,2019,Rank of average rank,,155,e. Health Deprivation and Disability Domain
E07000218,2019,Rank of average score,,145,f. Crime Domain
E07000218,2019,Rank of average rank,,97,h. Living Environment Deprivation Domain
E07000218,2019,Average Score,,-0.109,e. Health Deprivation and Disability Domain
E07000218,2019,Average Score,,17.907,a. Index of Multiple Deprivation (IMD)
E07000218,2019,Rank of proportion of LSOAs in most deprived 10% nationally,,168,b. Income Deprivation Domain
E07000218,2019,Rank of average score,,114,h. Living Environment Deprivation Domain
E07000218,2019,Average Rank,,13526.36,j. Income Deprivation Affecting Older People Index (IDAOPI)
E07000218,2019,Rank of proportion of LSOAs in most deprived 10% nationally,,173,e. Health Deprivation and Disability Domain
E07000218,2019,Rank of average score,,183,i. Income Deprivation Affecting Children Index (IDACI)
E07000218,2019,Rank of average score,,162,g. Barriers to Housing and Services Domain
E07000218,2019,Rank of scale,,289,b. Income Deprivation Domain
E07000218,2019,Rank of proportion of LSOAs in most deprived 10% nationally,,108,g. Barriers to Housing and Services Domain
E07000220,2019,Average Score,,0.097,j. Income Deprivation Affecting Older People Index (IDAOPI)
E07000220,2019,Rank of scale,,236,b. Income Deprivation Domain
E07000220,2019,Average Rank,,13642.7,i. Income Deprivation Affecting Children Index (IDACI)
E07000219,2019,Rank of proportion of LSOAs in most deprived 10% nationally,,98,j. Income Deprivation Affecting Older People Index (IDAOPI)
E07000219,2019,Proportion of Lower-layer Super Output Areas (LSOAs) in most deprived 10% nationally,,0.1358,"d. Education, Skills and Training Domain"
E07000220,2019,Rank of average rank,,215,b. Income Deprivation Domain
E07000220,2019,Proportion of Lower-layer Super Output Areas (LSOAs) in most deprived 10% nationally,,0.0984,g. Barriers to Housing and Services Domain
E07000220,2019,Average Rank,,11801.33,a. Index of Multiple Deprivation (IMD)
E07000220,2019,Average Score,,15.666,"d. Education, Skills and Training Domain"
E07000220,2019,Rank of proportion of LSOAs in most deprived 10% nationally,,117,g. Barriers to Housing and Services Domain
E07000220,2019,Rank of average score,,163,g. Barriers to Housing and Services Domain
E07000219,2019,Rank of average rank,,120,j. Income Deprivation Affecting Older People Index (IDAOPI)
E07000219,2019,Rank of proportion of LSOAs in most deprived 10% nationally,,119,e. Health Deprivation and Disability Domain
E07000219,2019,Rank of proportion of LSOAs in most deprived 10% nationally,,227,g. Barriers to Housing and Services Domain
E07000219,2019,Scale,,8114.5,c. Employment Deprivation Domain
E07000219,2019,Average Score,,0.113,c. Employment Deprivation Domain
E07000219,2019,Rank of average rank,,151,h. Living Environment Deprivation Domain
E07000219,2019,Average Score,,30.122,"d. Education, Skills and Training Domain"
E07000219,2019,Scale,,17123,b. Income Deprivation Domain
